name,val_f1_macro,val_accuracy,val_f1_fox,val_f1_nbc
TUNE_HYB_word12_char36_wmf5000_cmf5000_C0.5_bal,0.8288088489866534,0.8365150809664235,0.8651301749893299,0.7924875229839768
TUNE_HYB_word12_char47_wmf5000_cmf5000_C2.0_bal,0.827770895503533,0.8357907806922241,0.8649361702127659,0.7906056207943001
TUNE_HYB_word12_char46_wmf5000_cmf5000_C1.0_bal,0.8275957098770677,0.8354286305551244,0.8643438952620581,0.7908475244920771
TUNE_HYB_word12_char36_wmf5000_cmf5000_C0.5_none,0.8275753476435364,0.8412230327487196,0.8760851132555416,0.7790655820315312
TUNE_HYB_word12_char46_wmf5000_cmf5000_C1.5_bal,0.8273250427330533,0.8352734233535103,0.8643721247231215,0.7902779607429851
TUNE_HYB_word12_char47_wmf5000_cmf5000_C1.5_bal,0.8270820260903338,0.8350147446841534,0.8641186245685798,0.7900454276120877
TUNE_HYB_word12_char47_wmf5000_cmf5000_C1.5_none,0.826329826771105,0.8397744322003208,0.8746509086493707,0.7780087448928392
TUNE_HYB_word12_char47_wmf5000_cmf5000_C1.0_bal,0.8262324271420485,0.834031765740597,0.8630464480874317,0.7894184061966654
TUNE_HYB_word12_char46_wmf5000_cmf5000_C2.0_bal,0.8258349609077347,0.8339800300067256,0.8634990854566337,0.7881708363588356
TUNE_HYB_word12_char47_wmf5000_cmf5000_C1.0_none,0.825833843489677,0.839412282063221,0.8744641268300575,0.7772035601492966
TUNE_HYB_word12_char46_wmf5000_cmf5000_C1.0_none,0.8257831916530773,0.8393605463293496,0.8744186046511628,0.7771477786549917
TUNE_HYB_word12_char46_wmf5000_cmf5000_C1.5_none,0.8257581812408268,0.8392570748616069,0.8742563438423246,0.777260018639329
TUNE_HYB_word12_char47_wmf5000_cmf5000_C2.0_none,0.8252916118690248,0.8387914532567644,0.8738563679054328,0.7767268558326168
TUNE_HYB_word12_char46_wmf5000_cmf5000_C2.0_none,0.8245311504009125,0.8381706244503079,0.8734525447042641,0.775609756097561
TUNE_HYB_word12_char46_wmf5000_cmf5000_C0.5_bal,0.8235747977866203,0.8312897718454136,0.8604681014933037,0.7866814940799371
TUNE_HYB_word12_char46_wmf5000_cmf5000_C0.5_none,0.8226594102669755,0.8367220239019091,0.8725980946229615,0.7727207259109895
TUNE_HYB_word12_char47_wmf5000_cmf5000_C0.5_none,0.8225525452701068,0.8365668167002949,0.8724203384354429,0.7726847521047708
TUNE_HYB_word12_char47_wmf5000_cmf5000_C0.5_bal,0.8223884972573766,0.8300481142325004,0.8592725870710706,0.7855044074436827
